map center: 39.563353,-118.586426
station 	lat,long 	x,y
7odm 	34.11641,-117.09319	736,1120
agmt 	34.59428,-116.42938	796,1067
alpp 	34.82449,-118.6948	590,1042
ana1 	34.01501,-119.36347	529,1131
aoa1 	34.15744,-118.83032	578,1115
argu 	36.05001,-117.52194	697,905
arm1 	35.20125,-118.91042	571,1000
arm2 	35.20126,-118.91056	570,1000
avry 	34.4683,-117.15397	730,1081
azry 	33.54007,-116.6297	778,1183
azu1 	34.12602,-117.89649	663,1119
bald 	37.78343,-118.90139	571,708
bar1 	33.48045,-119.02974	560,1190
bbdm 	34.5822,-119.98151	473,1069
bbry 	34.26428,-116.88424	755,1104
bcwr 	34.92046,-119.40585	525,1031
bemt 	34.00053,-115.99819	836,1133
bepk 	35.87839,-118.07409	647,924
bgis 	33.96712,-118.1597	639,1136
bill 	33.57824,-117.0646	739,1179
bkms 	33.96226,-118.0947	645,1137
bkr1 	35.13239,-119.10948	552,1008
bkr2 	35.13258,-119.10929	552,1008
blsa 	33.79954,-118.02868	651,1155
blyt 	33.61041,-114.71485	952,1175
bmhl 	34.25145,-116.05298	831,1105
bmry 	33.96268,-116.9847	746,1137
bran 	34.18489,-118.27705	628,1112
brpk 	34.68228,-118.57681	601,1058
bsry 	34.91861,-117.01199	743,1031
btdm 	34.29281,-118.18823	636,1101
bvpp 	35.15728,-119.34751	531,1005
ca99 	37.64456,-118.89669	572,724
cact 	33.65514,-115.98995	836,1171
cand 	35.93935,-120.4337	432,917
carh 	35.88838,-120.43082	432,923
carr 	35.88835,-120.43084	432,923
casa 	37.64464,-118.89666	572,724
cat1 	33.44577,-118.48301	609,1193
cat2 	33.31162,-118.33382	623,1208
cbhs 	34.13856,-118.62981	596,1118
cccc 	35.56531,-117.67117	683,959
ccco 	33.87626,-118.2112	634,1146
cccs 	33.86274,-117.86494	666,1148
ccst 	34.80636,-119.01347	561,1044
cdmt 	34.82947,-116.33593	805,1041
cgdm 	34.24399,-117.96495	657,1106
chab 	37.72412,-122.11931	278,714
chil 	34.33342,-118.026	651,1096
chms 	34.64046,-117.8277	669,1062
cho1 	39.43264,-121.66496	320,515
cirx 	34.10955,-118.9373	568,1121
cit1 	34.13671,-118.12729	642,1118
cjms 	34.3138,-117.47938	701,1098
