Constructing mesh for project /home/gateway/GeoFEST_WDIR//duhFaultUser/faultsatmyfeet-NOW/faultsatmyfeet.
Generated 185 elements, 169 are too large.
Generated 257 elements, 229 are too large.
Generated 343 elements, 283 are too large.
Generated 459 elements, 306 are too large.
Generated 626 elements, 298 are too large.
Generated 859 elements, 279 are too large.
Generated 1183 elements, 150 are too large.
Generated 1640 elements, 13 are too large.
Generated 2239 elements, 2 are too large.
Generated 3006 elements, 0 are too large.
Done.
